Category,Tab,Property,Confidence,Real M-Files field(s),Source section,Mermaid §3.5 (Yes/Partial/No),Exact Mermaid syntax,Gap / Note
State,General,State Name,🟢,"Name (State Properties – General tab)","§1.4 (state-general.png caption)",Partial,"State node ID in stateDiagram-v2, e.g. Draft","Node naming is inherent to any Mermaid diagram but is not part of the §3.5 label grammar; no dedicated convention."
State,General,State Description(s),🟢,"Description field(s); caption says 'descriptions' (plural), exact split not enumerated by source doc","§1.4 (state-general.png caption)",No,,"Config-only; not covered by §3.5. Exact field split deliberately not asserted here."
State,General,Technical state (checkbox),🟢,"Technical state checkbox on General tab","§1.4 (state-general.png caption)",No,,"Existence caption-confirmed. Semantics deliberately NOT asserted here — not covered by source doc; flagged as gap G3 (vendor user guide defines it)."
State,Conditions,Preconditions,🔵,"Property-conditions filter + Advanced (vault application or VBScript) option","§2.4 (tab existence also 🟢 §1.4)",No,,"State-level condition; §3.5 encodes transition-level mechanisms only. Config-only; needs manual config or a convention extension."
State,Conditions,Postconditions,🔵,"Property-conditions filter + Advanced (vault application or VBScript) option","§2.4 (tab existence also 🟢 §1.4)",No,,"Config-only; same limitation as Preconditions."
State,Actions,Action: Set permissions,🔵,"Actions-tab checkbox + own config dialog","§2.2",No,,"State entry action; no §3.5 representation. Config-only."
State,Actions,Action: Mark for archiving,🔵,"Actions-tab checkbox + own config dialog","§2.2",No,,"Config-only; archiving and Delete are distinct per §2.2."
State,Actions,Action: Delete,🔵,"Actions-tab checkbox + own config dialog","§2.2 + §3 (End event row)",No,,"One of the two native end-event shapes per §3 (state whose Actions include Delete); §3.5's [*] convention maps only the no-outgoing-transitions shape (§6.4)."
State,Actions,Action: Assign to user,🔵,"Actions-tab checkbox + Assign to User dialog","§2.2",No,,"Config-only."
State,Actions,Action: Create separate assignments,🔵,"Actions-tab checkbox + Create Separate Assignment dialog","§2.2",No,,"Config-only."
State,Actions,Action: Send notification,🔵,"Actions-tab checkbox + Send notification dialog","§2.2",No,,"Config-only."
State,Actions,Action: Set properties,🔵,"Actions-tab checkbox + Set Properties dialog","§2.2",No,,"Config-only."
State,Actions,Action: Convert to PDF format,🔵,"Actions-tab checkbox + Convert to PDF dialog","§2.2",No,,"Config-only."
State,Actions,Action: Run script (execute vault application or VBScript),🔵,"Actions-tab checkbox + VBScript Details dialog","§2.2",No,,"§3.5 script(Name) convention is transition-trigger-scoped only; state-level action scripts have no diagram representation here. Config-only."
State,Advanced,Aliases (state),🟢,"Aliases field","§1.4",No,,"Minimal identifier tab — exactly two fields on both dialogs per §1.4. Config-only."
